120 10
1 1 1 15,3
1 2 2 15,4
1 3 3 15,4
1 4 4 10,5
1 5 5 15,0
1 6 6 16,0
1 7 7 15,5
1 8 8 11,0
1 9 9 15,5
1 10 10 12,5
1 11 11 13,7
1 12 12 16,6
1 13 13 17,3
1 14 14 12,6
1 15 15 17,4
1 16 16 14,1
1 17 17 15,8
1 18 18 19,9
1 19 19 14,7
1 20 20 11,9
1 21 21 11,0
1 22 22 11,8
1 23 23 11,0
1 24 24 18,0
1 25 25 18,7
1 26 26 14,3
1 27 27 16,0
1 28 28 18,5
1 29 29 12,0
1 30 30 18,9
1 31 31 17,8
1 32 32 13,5
1 33 33 10,2
1 34 34 18,4
1 35 35 13,2
1 36 36 16,3
1 37 37 13,9
1 38 38 13,8
1 39 39 19,1
1 40 40 10,9
1 41 41 12,3
1 42 42 11,9
1 43 43 11,2
1 44 44 17,3
1 45 45 19,9
1 46 46 13,5
1 47 47 12,2
1 48 48 16,9
1 49 49 12,4
1 50 50 16,6
1 51 51 15,1
1 52 52 13,3
1 53 53 19,3
1 54 54 15,0
1 55 55 12,4
1 56 56 10,2
1 57 57 13,1
1 58 58 19,8
1 59 59 17,5
1 60 60 17,4
1 61 61 18,7
1 62 62 17,0
1 63 63 18,6
1 64 64 18,2
1 65 65 13,4
1 66 66 15,1
1 67 67 13,2
1 68 68 15,1
1 69 69 16,4
1 70 70 17,7
1 71 71 15,1
1 72 72 11,0
1 73 73 12,8
1 74 74 12,2
1 75 75 13,6
1 76 76 20,0
1 77 77 14,9
1 78 78 14,2
1 79 79 11,8
1 80 80 19,0
1 81 81 13,2
1 82 82 17,8
1 83 83 14,8
1 84 84 13,9
1 85 85 15,8
1 86 86 14,9
1 87 87 10,4
1 88 88 16,1
1 89 89 14,7
1 90 90 15,1
1 91 91 18,4
1 92 92 13,7
1 93 93 16,6
1 94 94 14,7
1 95 95 14,8
1 96 96 10,5
1 97 97 15,1
1 98 98 18,9
1 99 99 14,6
1 100 100 17,5
1 101 101 19,1
1 102 102 11,3
1 103 103 16,5
1 104 104 18,4
1 105 105 15,6
1 106 106 18,9
1 107 107 19,1
1 108 108 17,6
1 109 109 12,2
1 110 110 15,2
1 111 111 10,5
1 112 112 18,7
1 113 113 15,9
1 114 114 12,8
1 115 115 10,5
1 116 116 19,6
1 117 117 17,0
1 118 118 18,5
1 119 119 15,5
1 120 120 19,2
1 1 2 25,6
1 2 3 26,5
1 3 4 20,3
1 4 5 24,4
1 5 6 29,1
1 6 7 30,1
1 7 8 26,1
1 8 9 22,4
1 9 10 25,8
1 10 11 17,0
1 11 12 25,0
1 12 13 30,9
1 13 14 17,5
1 14 15 17,6
1 15 16 19,3
1 16 17 23,3
1 17 18 31,9
1 18 19 28,5
1 19 20 25,8
1 20 21 16,0
1 21 22 18,5
1 22 23 20,3
1 23 24 28,5
1 24 25 31,7
1 25 26 31,2
1 26 27 17,6
1 27 28 27,0
1 28 29 28,2
1 29 30 27,9
1 30 31 19,7
1 31 32 18,8
1 32 33 16,6
1 33 34 19,5
1 34 35 28,4
1 35 36 29,2
1 36 37 20,0
1 37 38 15,8
1 38 39 31,2
1 39 40 28,9
1 40 41 22,5
1 41 42 22,8
1 42 43 12,5
1 43 44 22,4
1 44 45 23,3
1 45 46 30,6
1 46 47 17,8
1 47 48 20,9
1 48 49 29,1
1 49 50 16,8
1 50 51 28,4
1 51 52 19,4
1 52 53 30,7
1 53 54 32,3
1 54 55 22,9
1 55 56 16,2
1 56 57 22,5
1 57 58 22,0
1 58 59 28,8
1 59 60 30,3
1 60 61 28,5
1 61 62 34,9
1 62 63 28,7
1 63 64 26,0
1 64 65 22,7
1 65 66 23,0
1 66 67 22,5
1 67 68 27,9
1 68 69 17,0
1 69 70 32,9
1 70 71 30,1
1 71 72 24,6
1 72 73 17,4
1 73 74 24,9
1 74 75 16,4
1 75 76 27,4
1 76 77 22,3
1 77 78 17,3
1 78 79 25,2
1 79 80 25,7
1 80 81 30,7
1 81 82 28,3
1 82 83 25,6
1 83 84 19,8
1 84 85 26,8
1 85 86 26,0
1 86 87 19,7
1 87 88 16,3
1 88 89 27,2
1 89 90 17,3
1 90 91 27,4
1 91 92 22,3
1 92 93 25,7
1 93 94 24,3
1 94 95 25,1
1 95 96 18,1
1 96 97 17,9
1 97 98 26,8
1 98 99 25,4
1 99 100 18,9
1 100 101 24,9
1 101 102 23,3
1 102 103 21,1
1 103 104 27,2
1 104 105 19,9
1 105 106 28,5
1 106 107 37,2
1 107 108 30,5
1 108 109 27,7
1 109 110 21,4
1 110 111 15,8
1 111 112 26,7
1 112 113 26,3
1 113 114 16,1
1 114 115 14,5
1 115 116 25,6
1 116 117 26,2
1 117 118 21,2
1 118 119 21,3
1 119 120 20,5
1 1 3 40,0
1 2 4 34,2
1 3 5 25,3
1 4 6 39,5
1 5 7 37,3
1 6 8 31,4
1 7 9 26,3
1 8 10 28,5
1 9 11 30,8
1 10 12 26,6
1 11 13 42,3
1 12 14 31,2
1 13 15 18,8
1 14 16 23,0
1 15 17 27,7
1 16 18 42,6
1 17 19 36,1
1 18 20 31,8
1 19 21 28,5
1 20 22 21,5
1 21 23 24,8
1 22 24 30,6
1 23 25 37,2
1 24 26 34,6
1 25 27 32,7
1 26 28 30,9
1 27 29 31,0
1 28 30 44,6
1 29 31 31,3
1 30 32 31,6
1 31 33 22,6
1 32 34 27,6
1 33 35 30,5
1 34 36 37,1
1 35 37 30,8
1 36 38 27,1
1 37 39 34,5
1 38 40 37,8
1 39 41 38,0
1 40 42 28,4
1 41 43 24,3
1 42 44 24,2
1 43 45 25,1
1 44 46 36,3
1 45 47 33,9
1 46 48 27,2
1 47 49 32,0
1 48 50 29,4
1 49 51 31,7
1 50 52 32,8
1 51 53 35,6
1 52 54 41,6
1 53 55 33,7
1 54 56 27,6
1 55 57 27,4
1 56 58 29,9
1 57 59 32,4
1 58 60 34,6
1 59 61 45,0
1 60 62 35,8
1 61 63 37,5
1 62 64 34,7
1 63 65 32,8
1 64 66 25,2
1 65 67 35,8
1 66 68 36,9
1 67 69 30,1
1 68 70 34,2
1 69 71 42,5
1 70 72 40,9
1 71 73 32,0
1 72 74 25,3
1 73 75 28,5
1 74 76 31,1
1 75 77 32,0
1 76 78 29,4
1 77 79 28,3
1 78 80 27,7
1 79 81 38,4
1 80 82 39,7
1 81 83 31,0
1 82 84 32,0
1 83 85 30,5
1 84 86 35,6
1 85 87 29,0
1 86 88 29,4
1 87 89 28,2
1 88 90 28,2
1 89 91 30,3
1 90 92 28,2
1 91 93 29,2
1 92 94 29,7
1 93 95 35,2
1 94 96 32,4
1 95 97 24,5
1 96 98 34,5
1 97 99 38,6
1 98 100 34,5
1 99 101 31,7
1 100 102 36,1
1 101 103 37,9
1 102 104 33,9
1 103 105 28,3
1 104 106 34,0
1 105 107 43,6
1 106 108 44,4
1 107 109 31,6
1 108 110 31,0
1 109 111 24,0
1 110 112 33,4
1 111 113 36,2
1 112 114 33,6
1 113 115 26,0
1 114 116 26,6
1 115 117 33,2
1 116 118 27,7
1 117 119 22,9
1 118 120 32,3
1 1 4 43,4
1 2 5 38,7
1 3 6 40,3
1 4 7 46,6
1 5 8 37,3
1 6 9 32,7
1 7 10 33,4
1 8 11 31,7
1 9 12 32,8
1 10 13 42,5
1 11 14 42,3
1 12 15 32,0
1 13 16 26,9
1 14 17 35,3
1 15 18 45,3
1 16 19 47,6
1 17 20 36,4
1 18 21 37,9
1 19 22 31,5
1 20 23 24,9
1 21 24 40,5
1 22 25 41,8
1 23 26 44,1
1 24 27 41,4
1 25 28 43,8
1 26 29 36,7
1 27 30 47,4
1 28 31 44,9
1 29 32 34,9
1 30 33 33,8
1 31 34 32,9
1 32 35 34,6
1 33 36 44,2
1 34 37 47,3
1 35 38 38,9
1 36 39 39,8
1 37 40 42,0
1 38 41 43,5
1 39 42 42,6
1 40 43 30,1
1 41 44 35,0
1 42 45 35,0
1 43 46 38,4
1 44 47 36,7
1 45 48 34,6
1 46 49 34,0
1 47 50 34,3
1 48 51 43,6
1 49 52 35,4
1 50 53 51,4
1 51 54 43,3
1 52 55 45,9
1 53 56 37,2
1 54 57 37,7
1 55 58 33,6
1 56 59 36,3
1 57 60 38,2
1 58 61 49,5
1 59 62 49,5
1 60 63 38,6
1 61 64 48,2
1 62 65 44,2
1 63 66 42,7
1 64 67 37,0
1 65 68 48,7
1 66 69 39,3
1 67 70 36,8
1 68 71 43,3
1 69 72 47,0
1 70 73 42,1
1 71 74 35,4
1 72 75 32,7
1 73 76 33,1
1 74 77 36,4
1 75 78 38,5
1 76 79 40,1
1 77 80 37,4
1 78 81 39,2
1 79 82 45,7
1 80 83 46,9
1 81 84 32,5
1 82 85 46,7
1 83 86 44,9
1 84 87 40,3
1 85 88 34,1
1 86 89 40,5
1 87 90 29,2
1 88 91 33,1
1 89 92 36,4
1 90 93 37,8
1 91 94 41,1
1 92 95 42,6
1 93 96 36,2
1 94 97 33,9
1 95 98 43,2
1 96 99 42,7
1 97 100 42,3
1 98 101 45,1
1 99 102 40,0
1 100 103 43,5
1 101 104 40,2
1 102 105 37,8
1 103 106 38,7
1 104 107 52,1
1 105 108 52,0
1 106 109 46,9
1 107 110 45,2
1 108 111 34,5
1 109 112 37,9
1 110 113 41,9
1 111 114 37,3
1 112 115 33,7
1 113 116 39,1
1 114 117 37,2
1 115 118 38,1
1 116 119 41,4
1 117 120 33,8
1 1 5 44,0
1 2 6 46,1
1 3 7 49,2
1 4 8 47,7
1 5 9 42,9
1 6 10 43,4
1 7 11 41,0
1 8 12 37,6
1 9 13 44,7
1 10 14 43,6
1 11 15 43,8
1 12 16 35,0
1 13 17 38,7
1 14 18 50,5
1 15 19 48,2
1 16 20 49,8
1 17 21 44,5
1 18 22 38,7
1 19 23 33,9
1 20 24 40,9
1 21 25 43,0
1 22 26 49,3
1 23 27 51,3
1 24 28 57,0
1 25 29 43,9
1 26 30 48,0
1 27 31 47,7
1 28 32 46,0
1 29 33 39,0
1 30 34 42,7
1 31 35 44,3
1 32 36 50,9
1 33 37 48,2
1 34 38 48,8
1 35 39 41,4
1 36 40 45,2
1 37 41 45,3
1 38 42 53,0
1 39 43 42,6
1 40 44 44,3
1 41 45 42,2
1 42 46 44,6
1 43 47 42,6
1 44 48 47,1
1 45 49 35,6
1 46 50 37,3
1 47 51 45,3
1 48 52 43,9
1 49 53 51,9
1 50 54 53,5
1 51 55 50,1
1 52 56 46,0
1 53 57 49,5
1 54 58 43,3
1 55 59 46,2
1 56 60 47,7
1 57 61 56,4
1 58 62 61,6
1 59 63 50,6
1 60 64 48,6
1 61 65 57,5
1 62 66 48,6
1 63 67 42,8
1 64 68 49,7
1 65 69 51,6
1 66 70 41,8
1 67 71 45,8
1 68 72 51,3
1 69 73 53,1
1 70 74 46,2
1 71 75 36,8
1 72 76 35,5
1 73 77 36,9
1 74 78 41,9
1 75 79 44,7
1 76 80 48,9
1 77 81 44,9
1 78 82 50,6
1 79 83 54,4
1 80 84 48,5
1 81 85 47,3
1 82 86 48,7
1 83 87 47,0
1 84 88 47,6
1 85 89 48,7
1 86 90 43,4
1 87 91 37,5
1 88 92 40,4
1 89 93 43,7
1 90 94 46,0
1 91 95 45,9
1 92 96 43,2
1 93 97 44,7
1 94 98 43,7
1 95 99 44,0
1 96 100 52,1
1 97 101 51,4
1 98 102 51,5
1 99 103 44,9
1 100 104 55,3
1 101 105 48,6
1 102 106 39,8
1 103 107 55,7
1 104 108 57,3
1 105 109 59,4
1 106 110 61,2
1 107 111 45,2
1 108 112 41,8
1 109 113 47,2
1 110 114 42,1
1 111 115 39,1
1 112 116 48,4
1 113 117 40,0
1 114 118 40,6
1 115 119 47,2
1 116 120 43,0
1 1 6 48,9
1 2 7 51,8
1 3 8 52,2
1 4 9 50,8
1 5 10 53,9
1 6 11 46,8
1 7 12 49,3
1 8 13 53,9
1 9 14 47,2
1 10 15 45,2
1 11 16 43,8
1 12 17 40,4
1 13 18 54,2
1 14 19 56,9
1 15 20 53,3
1 16 21 55,8
1 17 22 45,2
1 18 23 48,6
1 19 24 47,3
1 20 25 43,5
1 21 26 50,3
1 22 27 57,4
1 23 28 59,3
1 24 29 61,1
1 25 30 58,6
1 26 31 48,1
1 27 32 61,1
1 28 33 52,1
1 29 34 53,2
1 30 35 53,0
1 31 36 57,8
1 32 37 52,7
1 33 38 53,6
1 34 39 53,6
1 35 40 48,8
1 36 41 50,3
1 37 42 54,5
1 38 43 53,9
1 39 44 47,3
1 40 45 51,1
1 41 46 50,0
1 42 47 48,2
1 43 48 51,7
1 44 49 52,0
1 45 50 42,2
1 46 51 47,8
1 47 52 45,8
1 48 53 62,2
1 49 54 55,3
1 50 55 64,3
1 51 56 51,7
1 52 57 52,0
1 53 58 57,3
1 54 59 58,6
1 55 60 49,4
1 56 61 64,1
1 57 62 63,2
1 58 63 63,6
1 59 64 51,0
1 60 65 58,2
1 61 66 61,2
1 62 67 50,8
1 63 68 56,4
1 64 69 52,6
1 65 70 53,0
1 66 71 53,7
1 67 72 54,5
1 68 73 56,9
1 69 74 60,8
1 70 75 54,5
1 71 76 49,5
1 72 77 37,0
1 73 78 43,2
1 74 79 45,2
1 75 80 58,1
1 76 81 51,5
1 77 82 60,8
1 78 83 57,4
1 79 84 57,7
1 80 85 58,3
1 81 86 49,4
1 82 87 51,3
1 83 88 49,2
1 84 89 49,0
1 85 90 49,2
1 86 91 47,4
1 87 92 50,1
1 88 93 48,1
1 89 94 47,1
1 90 95 59,5
1 91 96 55,5
1 92 97 47,1
1 93 98 50,5
1 94 99 50,3
1 95 100 55,8
1 96 101 55,7
1 97 102 54,3
1 98 103 52,8
1 99 104 57,9
1 100 105 61,3
1 101 106 56,2
1 102 107 57,8
1 103 108 60,7
1 104 109 60,1
1 105 110 62,7
1 106 111 62,0
1 107 112 54,9
1 108 113 55,7
1 109 114 48,1
